"stop_id","stopa_name","lat","lng"
"5972","Aane Kempegowdana Doddi(towards - Manchanabele)","12.86159160","77.33497315"
"5973","Aane Kempegowdana Doddi(towards - Gadigaiahna Doddi)","12.86153146","77.33511598"
"6853","Abbaiah Layout","12.97932654","77.68081784"
"6854","Abbaiah Layout(towards - Malleshpalya)","12.97927950","77.68080711"
"3200","Abbanakuppe(towards - Mysore Road)","12.77410247","77.40941016"
"3199","Abbanakuppe(towards - Byramangala)","12.77420561","77.40939522"
"12037","Abbanakuppe Colony(towards - Byramangala Lake)","12.77125820","77.41627224"
"12036","Abbanakuppe Colony(towards - Abbanakuppe)","12.77123008","77.41631649"
"10464","Abbigere","13.07699663","77.52568625"
"11223","Abbigere Cross(towards - Chikka Banavara)","13.07243454","77.52354652"
"11222","Abbigere Cross(towards - Abbigere)","13.07247634","77.52352506"
"10466","Abbigere Cross ( Government School)(towards - ABBIGERE)","13.07066443","77.52967805"
"10465","Abbigere Cross (Government School)(towards - Kammagondanahalli)","13.07066377","77.52972163"
"11197","Accenture B-7 Eco Space(towards - Accenture B-7 End Point)","12.92774279","77.68089428"
"11154","Accenture B6 Kundanahalli(towards - Accenture  B6  Last Point)","12.96854029","77.72490732"
"11815","Achappa Layout (Brigade Millenium)(towards - Last Bus Stop)","12.89166652","77.58056760"
"5955","Acharya College(towards - Andrahalli)","13.00234678","77.48811454"
"4399","Acharya College(towards - Herohalli Cross)","13.00230235","77.48822450"
"4604","Acharya Institute of Technology(towards - Janapriya Appartment)","13.08351475","77.48409927"
"4605","Acharya Institute of Technology(towards - Alur)","13.08348536","77.48420857"
"10494","Achithanagar Gate(towards - Achithanagar)","13.08424692","77.48644419"
"10493","Achithanagar Gate(towards - Janapriya Appartment)","13.08439256","77.48650253"
"4603","Achuthanagara","13.08962028","77.48603582"
"9360","ACTS College(towards - Rayasandra)","12.88143016","77.69231111"
"9359","ACTS College(towards - Chikkanayakanahalli Dinne)","12.88150206","77.69186184"
"9856","Adakamaranahalli(towards - Chikkamaskal)","12.94712782","77.31053755"
"9857","Adakamaranahalli(towards - Shanubhoganahalli)","12.94708012","77.31048457"
"864","Adakimaranahalli(towards - Jalahalli Cross)","13.07072696","77.44490183"
"861","Adakimaranahalli(towards - Nelamangala)","13.07036278","77.44462655"
"10338","Adakimaranahalli Bridge(towards - Depot-40)","13.06872056","77.44763263"
"11963","Adakimaranahalli Cross(towards - Ravuttanahalli)","13.06245513","77.43659265"
"5586","Adakimaranahalli Cross(towards - Magadi)","12.95437418","77.30918973"
"11962","Adakimaranahalli Cross(towards - Tumkur Road)","13.06251653","77.43655644"
"5587","Adakimaranahalli Cross(towards - Thippagondahalli)","12.95451272","77.30929165"
"9251","Adakimaranahalli Gate(towards - Makali)","13.06976696","77.44520053"
"9250","Adakimaranahalli Gate(towards - Adakimaranahalli)","13.06967159","77.44522467"
"10462","Adakimaranahalli Village(towards - Tumkur Road)","13.06491900","77.44329147"
"10461","Adakimaranahalli Village","13.06486478","77.44330019"
"10481","Adarshanagara(towards - Depot-43)","13.07615892","77.42375225"
"10496","Adarshanagara (Arishinakunte)(towards - Arishinakunte)","13.07464814","77.42046252"
"10497","Adarshanagara (Arishinakunte)","13.07467296","77.42052220"
"10480","Adarshanagara (D43 Road)(towards - Arishinakunte)","13.07620660","77.42370933"
"10667","Adde Gramma(towards - Last Point)","13.20615268","77.54698366"
"11346","Addevishwanathpura(towards - Addegramm)","13.18668225","77.55106866"
"11347","Addevishwanathpura(towards - Rajanukunte)","13.18669923","77.55111628"
"1954","Addiganahalli(towards - Adigonhalli Extension)","13.17295433","77.56953340"
"1947","Addiganahalli(towards - Rajanukunte)","13.17291279","77.56958865"
"3462","Adiganahalli Extension(towards - Tharahunase)","13.17279997","77.57125590"
"3461","Adiganahalli Extension(towards - Tharahunase)","13.17284099","77.57121807"
"7029","Adigara Kallahalli(towards - Last Bus Stop)","12.82534366","77.80330360"
"7028","Adigara Kallahalli(towards - Exide Gate)","12.82520243","77.80355573"
"3143","Adigondanahalli(towards - Bendigonhalli)","12.81456709","77.75115867"
"3142","Adigondanahalli(towards - Suryanagara KHB)","12.81456117","77.75125622"
"8975","Adithi School(towards - Yelahanka New Town)","13.10240691","77.58297287"
"11006","Aditya Auto","13.28153980","77.53157973"
"11583","Adityanagara (Jally Machine)(towards - Last Bus Stop)","13.08597318","77.55071461"
"7156","Ado Sonnahatti(towards - Last stop)","12.77796189","77.71553636"
"7155","Ado Sonnahatti(towards - Thirumagondanahalli)","12.77795929","77.71546126"
"2656","Adugodi(towards - Jn  Of Hosur Road)","12.94379309","77.60780314"
"10202","Adugodi(towards - MICO)","12.94398836","77.60739438"
"11578","Adugodi(towards - Adogodi Village)","12.94403411","77.60796637"
"2657","Adugodi(towards - Anapalya)","12.94372265","77.60768627"
"11752","Adugodi(towards - Adugodi Police Quaters)","12.94406743","77.60747552"
"11230","Adugodi HP Sales Office","12.93701005","77.61042595"
"2659","Adugodi Police Statiion(towards - Adugodi)","12.93895241","77.60966911"
"2658","Adugodi Police Statiion(towards - Jn Of Hosur Road)","12.93983132","77.60960382"
"11577","Adugodi Village(towards - Mico Company)","12.94232713","77.61465847"
"11576","Adugodi Village(towards - Koramangala 8th Block)","12.94224348","77.61492670"
"1747","Adur(towards - Ramapura)","13.05535554","77.70601533"
"1699","Adur(towards - Avalahalli)","13.05552872","77.70571225"
"7304","Aduru(towards - Indlawadi Cross)","12.73299652","77.65435517"
"7305","Aduru(towards - Indlawadi)","12.73300633","77.65439540"
"4644","AECS Dental College(towards - Doddakammanahalli)","12.86521846","77.59835601"
"4643","AECS Dental College(towards - Nobonagara)","12.86529690","77.59827554"
"9200","AECS Layout (Kudlu Village)(towards - Last Bus Stop)","12.88305649","77.64990672"
"9201","AECS Layout (Kudlu Village)(towards - Kudlu Panchayat)","12.88285778","77.65018433"
"6930","AECS Layout Cross(towards - ITPL)","12.96521749","77.71829903"
"6929","AECS Layout Cross(towards - Kundalahalli Gate)","12.96509987","77.71841638"
"9171","AECS Layout Last Stop(towards - Kundalahalli Gate)","12.96432876","77.71385193"
"11030","AERO Space HAL(towards - LAst Stop)","12.97151021","77.66078644"
"12103","Aerospace Bagalur(towards - Hoovinayakanahalli Cross)","13.17262680","77.73087054"
"12102","Aerospace Bagalur","13.17295587","77.73076862"
"7414","AG Export Garment(towards - Nelamangala)","13.12041601","77.39244618"
"7413","AG Export Garments(towards - Madhure)","13.12049960","77.39235699"
"1613","Agalakote(towards - Devanahalli)","13.21285389","77.73608630"
